City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
18,Comodoro Rivadavia,AR,85.86,clear sky,-45.8667,-67.5,Austral Hotel
44,Gracias,HN,86.02,clear sky,14.5833,-88.5833,Guancascos´Hotel & Restaurant
96,Trelew,AR,87.78,overcast clouds,-43.249,-65.3051,Hotel Touring Club
191,Sangre Grande,TT,86.9,broken clouds,10.5835,-61.1177,Lotus drive
192,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
238,Tutoia,BR,85.98,few clouds,-2.7619,-42.2744,Pousada Guará's
248,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
253,Tela,HN,86.22,scattered clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
282,Aquiraz,BR,86.09,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
284,Siparia,TT,86.79,broken clouds,10.1333,-61.5,Brook Gardens
316,Pio Ix,BR,85.17,overcast clouds,-6.8375,-40.5792,Hotel Central
320,Sao Gabriel Da Cachoeira,BR,89.4,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
327,Pianco,BR,87.44,scattered clouds,-7.1981,-37.9292,Via hotel
334,Fuerte Olimpo,PY,86.79,heavy intensity rain,-21.0415,-57.8738,Hospedaje DAMI
348,Cartagena,CO,89.22,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
351,Puerto Ayora,EC,87.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
387,Kapoeta,SS,87.94,broken clouds,4.7717,33.5903,Eastgate Hotel
429,Colombia,CU,88.52,scattered clouds,20.9881,-77.4297,Casa Lazara y Pupi
482,Lafiagi,NG,86.36,few clouds,8.8667,5.4167,Bus group international
494,Viradouro,BR,86.09,scattered clouds,-20.8731,-48.2969,Motel Diamond
496,Sena Madureira,BR,88.32,light rain,-9.0656,-68.6569,Hotel Central
499,La Palma,US,89.65,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
573,Conde,BR,85.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
591,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
594,Caraballeda,VE,86.36,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
662,Juba,SS,86.02,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
688,Pailon,BO,85.68,overcast clouds,-17.65,-62.75,Alojamiento pailon
694,Lafia,NG,87.13,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
711,Tambopata,PE,85.46,overcast clouds,-12.7333,-69.1833,
729,Huicungo,PE,88.05,moderate rain,-7.2833,-76.8,Gran Pajaten Trek
737,Morant Bay,JM,85.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
