City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
0,Castro,-24.7911,-50.0119,80.06,44,17,1.99,few clouds,BR,2022-02-12 19:27:31
1,Ushuaia,-54.8,-68.3,47.86,53,40,37.98,scattered clouds,AR,2022-02-12 19:27:31
2,Matara,5.9485,80.5353,75.33,91,100,4.18,overcast clouds,LK,2022-02-12 19:27:32
3,Bredasdorp,-34.5322,20.0403,68.29,76,100,5.37,overcast clouds,ZA,2022-02-12 19:27:32
4,Lagoa,39.05,-27.9833,60.17,88,100,22.66,overcast clouds,PT,2022-02-12 19:27:33
5,East London,-33.0153,27.9116,77.43,86,0,12.86,clear sky,ZA,2022-02-12 19:27:33
6,Krasnoselkup,65.7,82.4667,-6.47,91,6,12.17,clear sky,RU,2022-02-12 19:27:33
7,Rodrigues Alves,-7.738,-72.6509,80.8,71,100,3.33,overcast clouds,BR,2022-02-12 19:27:34
8,Puerto Cabezas,14.0351,-83.3888,84.16,74,75,6.91,broken clouds,NI,2022-02-12 19:27:34
9,Georgetown,5.4112,100.3354,81.95,78,20,5.75,few clouds,MY,2022-02-12 19:23:26
10,Rosetta,31.4044,30.4164,57.02,77,0,13.53,clear sky,EG,2022-02-12 19:27:35
11,Iqaluit,63.7506,-68.5145,-22.27,57,40,0.0,scattered clouds,CA,2022-02-12 19:27:35
12,Talara,-4.5772,-81.2719,84.96,51,0,12.66,clear sky,PE,2022-02-12 19:24:02
13,Qaanaaq,77.484,-69.3632,-20.29,47,0,8.5,clear sky,GL,2022-02-12 19:27:36
14,Abu Dhabi,24.4667,54.3667,71.71,67,0,3.44,clear sky,AE,2022-02-12 19:23:05
15,Kidal,18.4411,1.4078,75.63,10,0,7.87,clear sky,ML,2022-02-12 19:27:37
16,Kashan,33.9831,51.4364,51.39,76,0,0.0,clear sky,IR,2022-02-12 19:27:37
17,Cape Town,-33.9258,18.4232,71.1,81,0,16.11,clear sky,ZA,2022-02-12 19:26:49
18,Comodoro Rivadavia,-45.8667,-67.5,85.86,23,0,11.5,clear sky,AR,2022-02-12 19:27:37
19,Hermanus,-34.4187,19.2345,68.81,86,100,8.14,overcast clouds,ZA,2022-02-12 19:27:38
20,Tasiilaq,65.6145,-37.6368,10.56,65,100,3.67,overcast clouds,GL,2022-02-12 19:27:38
21,Rocha,-34.4833,-54.3333,67.08,96,100,14.9,overcast clouds,UY,2022-02-12 19:26:26
22,Dikson,73.5069,80.5464,-2.11,77,100,27.42,overcast clouds,RU,2022-02-12 19:27:39
23,La Rioja,42.25,-2.5,49.05,92,100,3.71,overcast clouds,ES,2022-02-12 19:27:39
24,Sinnamary,5.3833,-52.95,79.25,85,73,12.1,light rain,GF,2022-02-12 19:27:40
25,Storsteinnes,69.2408,19.2344,21.2,94,59,5.19,broken clouds,NO,2022-02-12 19:27:40
26,Matagami,49.7502,-77.6328,-12.89,64,0,12.66,clear sky,CA,2022-02-12 19:27:40
27,Talnakh,69.4865,88.3972,-8.34,79,12,9.62,few clouds,RU,2022-02-12 19:27:41
28,Reshetylivka,49.565,34.0782,29.75,85,13,10.6,few clouds,UA,2022-02-12 19:27:41
29,Jamestown,42.097,-79.2353,31.08,63,100,9.22,overcast clouds,US,2022-02-12 19:25:45
30,Nalut,30.3333,10.85,57.04,29,100,9.24,overcast clouds,LY,2022-02-12 19:27:42
31,Port Alfred,-33.5906,26.891,75.87,91,1,13.15,clear sky,ZA,2022-02-12 19:27:43
32,Port Elizabeth,-33.918,25.5701,73.69,94,100,5.75,overcast clouds,ZA,2022-02-12 19:27:43
33,Wood Dale,41.9634,-87.979,21.7,53,40,8.05,scattered clouds,US,2022-02-12 19:27:44
34,Upernavik,72.7868,-56.1549,-3.98,98,100,15.19,overcast clouds,GL,2022-02-12 19:27:44
35,Taltal,-25.4,-70.4833,70.97,70,22,6.87,few clouds,CL,2022-02-12 19:27:44
36,Siderno,38.2779,16.302,57.83,83,100,3.91,overcast clouds,IT,2022-02-12 19:27:45
37,Hambantota,6.1241,81.1185,76.44,85,100,9.86,overcast clouds,LK,2022-02-12 19:27:04
38,Sept-Iles,50.2001,-66.3821,34.05,88,100,4.61,overcast clouds,CA,2022-02-12 19:25:19
39,Punta Arenas,-53.15,-70.9167,57.31,44,40,35.68,scattered clouds,CL,2022-02-12 19:25:35
40,Arraial Do Cabo,-22.9661,-42.0278,80.46,69,75,8.05,light rain,BR,2022-02-12 19:23:11
41,Banyo,6.75,11.8167,73.87,19,12,3.71,few clouds,CM,2022-02-12 19:27:46
42,Saldanha,-33.0117,17.9442,66.81,84,100,13.96,overcast clouds,ZA,2022-02-12 19:27:46
43,Cururupu,-1.8283,-44.8683,78.67,88,97,4.56,overcast clouds,BR,2022-02-12 19:28:47
44,Gracias,14.5833,-88.5833,86.02,40,0,6.08,clear sky,HN,2022-02-12 19:28:47
45,Klaksvik,62.2266,-6.589,38.32,88,100,9.86,overcast clouds,FO,2022-02-12 19:28:48
46,Sao Borja,-28.6606,-56.0044,91.98,38,11,14.36,few clouds,BR,2022-02-12 19:28:48
47,Adrar,20.5022,-10.0711,69.48,18,2,10.07,clear sky,MR,2022-02-12 19:28:48
48,Hauterive,46.0901,3.4459,38.16,70,100,2.89,overcast clouds,FR,2022-02-12 19:28:49
49,Tessalit,20.1986,1.0114,72.34,11,1,9.48,clear sky,ML,2022-02-12 19:28:49
50,Chaman,30.9236,66.4512,50.67,28,0,3.27,clear sky,PK,2022-02-12 19:28:50
51,Sucua,-2.4667,-78.1667,77.74,78,75,3.44,light rain,EC,2022-02-12 19:28:50
52,Grand Gaube,-20.0064,57.6608,81.0,84,8,3.0,clear sky,MU,2022-02-12 19:28:50
53,Mar Del Plata,-38.0023,-57.5575,64.42,70,40,18.41,scattered clouds,AR,2022-02-12 19:28:51
54,Trincomalee,8.5711,81.2335,78.84,84,93,14.72,overcast clouds,LK,2022-02-12 19:28:51
55,Amapa,1.0,-52.0,81.45,76,93,4.25,overcast clouds,BR,2022-02-12 19:28:52
