City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dovers,VC,2022-02-01 01:34:35,12.8833,-61.1833,78.49,78,18,14.45
1,Iqaluit,CA,2022-02-01 01:36:08,63.7506,-68.5145,-29.31,66,0,3.0
2,Hermanus,ZA,2022-02-01 01:36:08,-34.4187,19.2345,73.9,89,3,8.48
3,Yellowknife,CA,2022-02-01 01:31:18,62.456,-114.3525,-11.58,83,20,6.91
4,Niltepec,MX,2022-02-01 01:36:09,16.5667,-94.6167,72.77,85,0,4.18
5,Bluff,NZ,2022-02-01 01:36:10,-46.6,168.3333,74.8,79,100,10.96
6,East London,ZA,2022-02-01 01:36:10,-33.0153,27.9116,77.02,71,100,2.42
7,Saint-Paul,RE,2022-02-01 01:36:11,-21.0096,55.2707,78.89,77,98,4.29
8,Albany,US,2022-02-01 01:32:38,42.6001,-73.9662,17.73,67,8,2.24
9,Esna,EG,2022-02-01 01:36:11,25.2934,32.554,46.42,66,0,6.8
10,Taoudenni,ML,2022-02-01 01:36:12,22.6783,-3.9836,65.57,8,2,11.45
11,Cape Town,ZA,2022-02-01 01:31:29,-33.9258,18.4232,74.12,81,0,3.44
12,Hobart,AU,2022-02-01 01:36:12,-42.8794,147.3294,85.86,39,75,5.01
13,Punta Arenas,CL,2022-02-01 01:36:13,-53.15,-70.9167,46.51,76,75,14.97
14,Livingston,GB,2022-02-01 01:36:13,55.9029,-3.5226,48.85,92,40,19.57
15,Kodiak,US,2022-02-01 01:36:14,57.79,-152.4072,29.71,93,100,0.0
16,Castro,BR,2022-02-01 01:36:14,-24.7911,-50.0119,62.67,90,1,2.55
17,Vao,NC,2022-02-01 01:36:15,-22.6667,167.4833,78.08,83,100,9.35
18,Vrangel,RU,2022-02-01 01:36:16,42.7297,133.0839,19.67,49,18,10.65
19,Carnarvon,AU,2022-02-01 01:31:25,-24.8667,113.6333,86.07,58,4,16.11
20,San Cristobal,VE,2022-02-01 01:36:16,7.7669,-72.225,71.78,85,97,2.44
21,Kihei,US,2022-02-01 01:36:17,20.785,-156.4656,82.42,62,40,13.8
22,Manggar,ID,2022-02-01 01:36:17,-2.8833,108.2667,83.77,67,100,7.07
23,Port Alfred,ZA,2022-02-01 01:36:18,-33.5906,26.891,74.64,97,99,2.71
24,Lukovetskiy,RU,2022-02-01 01:36:18,64.2956,41.9211,15.78,97,100,5.12
25,Rikitea,PF,2022-02-01 01:36:19,-23.1203,-134.9692,78.28,67,95,5.93
26,Ancud,CL,2022-02-01 01:36:19,-41.8697,-73.8203,57.42,84,78,7.16
27,Sao Jose Da Coroa Grande,BR,2022-02-01 01:36:19,-8.8978,-35.1478,78.42,80,38,6.4
28,Avarua,CK,2022-02-01 01:36:20,-21.2078,-159.775,77.05,88,100,10.36
29,Denison,US,2022-02-01 01:36:20,33.7557,-96.5367,59.18,78,40,3.0
30,Nikolskoye,RU,2022-02-01 01:36:21,59.7035,30.7861,24.69,97,100,4.63
31,Ushuaia,AR,2022-02-01 01:36:21,-54.8,-68.3,40.66,87,75,17.27
32,Hilo,US,2022-02-01 01:36:22,19.7297,-155.09,78.53,69,40,11.5
33,Chuy,UY,2022-02-01 01:36:22,-33.6971,-53.4616,61.38,65,0,7.09
34,Thinadhoo,MV,2022-02-01 01:36:22,0.5333,72.9333,82.6,69,28,10.31
35,Bredasdorp,ZA,2022-02-01 01:34:14,-34.5322,20.0403,72.28,98,21,5.48
36,Kitimat,CA,2022-02-01 01:36:23,54.0524,-128.6534,35.98,98,97,2.77
37,Bedesa,ET,2022-02-01 01:36:23,8.9,40.7833,58.55,33,100,3.49
38,Padang,ID,2022-02-01 01:36:24,-0.9492,100.3543,75.25,83,100,1.14
39,Lebu,CL,2022-02-01 01:36:24,-37.6167,-73.65,57.56,77,0,17.11
40,Saint George,US,2022-02-01 01:36:25,37.1041,-113.5841,54.95,22,0,1.99
41,Vila Velha,BR,2022-02-01 01:32:49,-20.3297,-40.2925,75.15,88,100,8.05
42,Zhigansk,RU,2022-02-01 01:36:26,66.7697,123.3711,-29.56,98,91,7.14
43,Tura,IN,2022-02-01 01:36:26,25.5198,90.2201,58.51,59,80,4.68
44,Iqaluit,CA,2022-02-01 01:36:08,63.7506,-68.5145,-29.31,66,0,3.0
45,Hermanus,ZA,2022-02-01 01:36:08,-34.4187,19.2345,73.9,89,3,8.48
46,Yellowknife,CA,2022-02-01 01:31:18,62.456,-114.3525,-11.58,83,20,6.91
47,Niltepec,MX,2022-02-01 01:36:09,16.5667,-94.6167,72.77,85,0,4.18
48,Bluff,NZ,2022-02-01 01:36:10,-46.6,168.3333,74.8,79,100,10.96
49,East London,ZA,2022-02-01 01:36:10,-33.0153,27.9116,77.02,71,100,2.42
50,Saint-Paul,RE,2022-02-01 01:36:11,-21.0096,55.2707,78.89,77,98,4.29
51,Albany,US,2022-02-01 01:32:38,42.6001,-73.9662,17.73,67,8,2.24
52,Esna,EG,2022-02-01 01:36:11,25.2934,32.554,46.42,66,0,6.8
53,Taoudenni,ML,2022-02-01 01:36:12,22.6783,-3.9836,65.57,8,2,11.45
